finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
117.26540589	569	3205	1375	1	5	29
119.83941102	572	3239	1379	2	5	31
124.86261892	597	3327	1455	1	3	9
139.57344484	662	3703	1649	1	3	16
140.25984597	667	3724	1660	1	3	16
147.65425897	682	3839	1714	2	3	18
148.60586095	687	3859	1727	2	3	18
150.08786392	693	3895	1744	1	3	17
151.32026601	698	3931	1753	1	3	17
152.91146898	703	3967	1763	2	3	19
154.56507182	708	4003	1773	2	3	19
239.60082102	1025	5573	2469	0	5	15
245.96563196	1045	5710	2526	1	5	18
248.07163596	1059	5803	2558	0	5	16
313.95055199	1213	6682	2972	2	6	30
finished uploading
travel-8
k=40
time	expanded	visited	terminated	depth	cost	trace
12.94802189	71	865	17	1	3	11
13.88402390	76	926	17	1	3	11
59.37370396	208	2629	102	1	3	11
60.15370488	211	2673	102	1	3	11
86.86095190	248	3278	209	1	4	12
86.86095190	248	3277	209	1	4	12
95.56576800	280	3688	215	2	4	13
99.20057392	296	3860	215	2	4	13
106.20498586	320	4194	223	2	3	12
108.79459095	329	4289	223	2	3	12
111.96139598	340	4439	225	2	3	12
113.58379889	349	4534	225	2	3	12
452.16679382	1115	14266	741	2	4	19
454.94359899	1120	14327	742	2	4	19
466.22241902	1155	14652	757	2	4	19
468.89002299	1160	14713	758	2	4	19
479.99724293	1195	15038	773	1	4	19
482.68044686	1200	15099	774	1	4	19
952.94327283	2196	26323	2644	2	4	13
953.16167402	2197	26335	2644	2	4	13
962.19408989	2208	26479	2644	1	4	12
962.36568999	2209	26491	2644	1	4	12
980.77372193	2247	26908	2644	2	4	19
982.89532590	2250	26952	2644	2	4	19
988.77653599	2257	27058	2644	2	4	19
990.88253999	2260	27102	2644	2	4	19
996.70134997	2267	27208	2644	1	4	19
998.79175401	2270	27252	2644	1	4	19
1016.80978584	2297	27492	2792	2	4	15
1017.18418598	2299	27509	2793	2	4	15
1021.14659286	2321	27696	2804	2	4	15
1021.52099395	2323	27713	2805	2	4	15
1026.02940202	2333	27831	2824	2	4	16
1027.12140393	2336	27867	2825	2	4	16
1030.74060988	2354	28043	2829	1	4	14
1031.03701091	2356	28060	2830	1	4	14
1034.04781580	2378	28247	2841	1	4	14
1034.32861590	2380	28264	2842	1	4	14
1037.62022185	2390	28390	2845	1	4	15
1038.47822380	2393	28426	2846	1	4	15
