finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
162.77068591	1345	15108	755	0	6	16
163.45708704	1349	15157	756	0	6	16
169.11989689	1397	15608	832	0	6	16
170.21189904	1404	15687	832	0	6	16
171.44430089	1412	15776	834	0	6	16
172.55190301	1419	15855	834	0	6	16
180.05551600	1466	16295	884	0	7	17
180.69511700	1468	16326	884	0	7	17
181.33471799	1470	16357	884	0	7	16
181.97431993	1472	16388	884	0	7	16
188.32353091	1490	16667	909	0	7	17
195.39034295	1512	17000	937	0	7	19
196.88794589	1518	17081	943	0	7	19
211.56757188	1606	18194	984	1	7	11
212.48797297	1611	18255	984	1	7	11
214.93717694	1636	18492	988	1	7	12
227.82279992	1720	19387	1036	1	7	11
228.58720088	1723	19431	1036	1	7	11
232.39360809	1738	19656	1037	1	7	12
235.32641292	1748	19800	1053	1	7	14
236.01281404	1752	19849	1054	1	7	14
280.94089293	2127	24002	1150	0	7	19
394.77429295	3064	34521	1263	0	7	14
396.42789602	3083	34700	1263	0	7	14
516.95370793	4180	45726	1788	0	7	18
