finished uploading
travel-to-la
k=40
time	expanded	visited	terminated	depth	cost	trace
184.47032404	625	3727	1778	2	5	27
186.43592811	632	3751	1799	1	5	25
194.36074209	654	3851	1823	2	6	30
202.02035499	692	4079	1903	1	4	16
206.07636213	707	4146	1924	2	6	29
210.44437003	735	4279	1989	1	4	17
212.58157396	750	4357	2031	1	3	15
216.96518207	769	4491	2056	1	5	26
218.49398398	772	4525	2059	1	5	28
225.93519711	805	4663	2171	1	4	19
231.83200812	822	4763	2188	2	6	30
238.27481914	849	4899	2278	1	3	17
243.50082803	863	5012	2291	2	5	31
246.52723312	871	5065	2315	1	5	29
254.07764697	895	5197	2337	2	6	29
256.51125097	910	5232	2397	1	3	9
263.39086318	951	5423	2505	1	3	16
264.09286404	956	5443	2517	1	3	16
265.62166715	962	5476	2541	1	3	17
266.86966896	967	5511	2551	1	3	17
finished uploading
travel-8
k=40
time	expanded	visited	terminated	depth	cost	trace
27.33124804	105	1341	35	1	3	11
28.53245020	110	1402	35	1	3	11
62.61851001	209	2653	111	1	3	11
63.39851117	212	2697	111	1	3	11
86.53335214	243	3204	208	1	4	12
86.54895210	243	3203	208	1	4	12
158.48067808	407	5190	382	2	4	13
162.08428502	423	5362	382	2	4	13
216.18518019	516	6673	480	2	3	12
217.79198313	525	6768	480	2	3	12
223.42359304	538	6924	487	3	5	20
225.71679711	547	7043	488	2	3	12
227.30799913	556	7138	488	2	3	12
232.90840912	569	7294	495	3	5	20
415.56913018	964	12364	705	2	4	19
418.26793504	969	12425	706	2	4	19
429.42195415	1004	12750	721	2	4	19
432.08955908	1009	12811	722	2	4	19
563.00498915	1360	16427	1306	2	4	13
563.22338915	1361	16439	1306	2	4	13
577.43501401	1388	16757	1306	2	4	19
579.57221818	1391	16801	1306	2	4	19
585.42222810	1398	16907	1306	2	4	19
587.51263213	1401	16951	1306	2	4	19
594.37664413	1413	17058	1357	2	4	15
594.75104499	1415	17075	1358	2	4	15
598.72905207	1437	17262	1369	2	4	15
599.11905217	1439	17279	1370	2	4	15
603.29986000	1449	17405	1373	2	4	16
604.39186215	1452	17441	1374	2	4	16
617.93268514	1492	17848	1490	2	5	20
617.97948599	1492	17847	1490	2	5	20
618.01068616	1492	17846	1490	2	5	20
618.04188609	1492	17845	1490	2	5	20
619.19628811	1494	17876	1490	2	5	17
620.36629009	1496	17907	1490	2	5	17
621.53629208	1498	17938	1490	2	5	17
622.69069409	1500	17969	1490	2	5	17
631.59830904	1514	18186	1509	2	5	18
632.81511211	1516	18217	1510	2	5	18
